name,free_returns,items_sold,item_price,item_shipping,item_status
Glasses Reading Readers Womens Mens Retro Reader Glasses Eyeglasses Spectacles,True,,10401325,0,Brand New
Classic Bifocal Outdoor Reading Glasses Sunglasses Comfortable Stylish Readers ,False,,8951295,0,Brand New
High Hardness Anti-Blue Progressive Far And Near Dual-Use Reading Glasses U.S.,False,,729,0,Brand New
3 Pairs Men Women Anti-Blue Light Reading Glasses Frameless Reading Eye Glasses ,False,,574,0,Brand New
Reading Glasses Blue Light Blocking Computer Eyeglasses Anti Lightweight Readers,False,21,999,0,Brand New
Men Khan Rectangular Half Rimless Metal Reader Reading Glasses Sophisticate look,False,,1195,0,Brand New
Compact Reading Glasses Foldable with Carry Case Classic Folding Reader Retro,True,,8951699,0,Brand New
4 PK Unisex Blue Light Blocking Reading Glasses Computer Readers for Men Women,True,,1395,0,Brand New
4 Pair Mens Unisex Blue Light Blocking Reading Glasses  Anti Blue Light Readers,True,,1159,0,Brand New
Ultralight Reading Glasses full Frame For Men Women +1 +1.5+2.0+2.5+3.0+3.5+4.0,False,56,257,0,Brand New
3 Pairs Womens Ladies Blue Light Blocking Reading Glasses Spring Hinge Readers,True,,1259,0,Brand New
Mens Classic Rectangular Plastic Multi 3 Focus Progressive Reading Glasses,True,,1395,0,Brand New
Womens Reading Glasses Square Frame Two Tone Spring Hinge Readers with Case,True,,895,0,Brand New
 6-pack Spring Hinges Reading Glasses Unisex (5+1 Sunglasses Reader),False,545,1495,0,Brand New
New Half Rim Tinted Lens Anti Reflective Sun Reading Glasses Sunglasses +1 ~ +4,False,17,6991699,0,Brand New
2PK Mens Diamond Shape Rimless Blue Light Blocking Reading Glasses Metal Readers,True,,1359,0,Brand New
4 Pairs Mens Women Spring Hinge Round Horn Power Oval Reading Reader Glasses 1-3,True,183,1249,0,Brand New
Round Reading Glasses Metal Frame Silver Spring Hinged John Lennon Vintage Style,True,,8951849,0,Brand New
Dial Adjustable Glasses Variable Focus Distance Vision Eyeglasses For Reading,True,,1299,0,Brand New
2Pcs Reading Glasses Readers Men Women Square Frame 1.0 1.5 2.0 2.5 3.0 3.5 4.0,False,,8991099,0,Brand New
Smart zoom reading glasses progressive multi-focus Computer Anti blue ray,False,,118219,0,Brand New
Wrap Rimless Bifocal Sunglasses Sport Sun Reader Reading Glasses Men Women UV400,True,168,1090,0,Brand New
3 Pair Mens Unisex Blue Light Blocking Reading Glasses  Anti Blue Light Readers,True,,1059,0,Brand New
Strong High Power Reading Glasses Readers Extra Magnifiers +4.50 +5.00 +6.00 6.0,False,,1099,0,Brand New
Men Large Bifocal Outdoor Sunglasses Reader 150mm Wide Reading Glasses 100% UV,False,,1095,0,Brand New
READING GLASSES MENS WOMENS 4 PACK SQUAR FRAME DEMI COLOR READERS VALUE DEAL NEW,True,,795,0,Brand New
Extra large frame reading glasses men wide long 3.5 4.0 big head cool oversized ,True,,1595,0,Brand New
Women's Inspired style reading glasses plastic frame 1.25-4.00,False,53,699,0,Brand New
