name,free_returns,items_sold,item_price,item_shipping,item_status
"29-inch Softside Expandable Luggage Checked Large 8-Wheel, Navy",False,0,10000,0,Brand New
3Pcs Carry on Luggage Set Expandable Suitcase Large Capacity 20'' 24'' 28'' New,True,0,13999,0,Brand New
Gray Protocol JC Penney Large Rolling Pull Handle Suitcase,True,,6900,0,Pre-Owned
Vera Bradley Iconic Large Travel Duffel Bag - Paisley Stripes,False,0,7900,0,Brand New
Genuine Made By Hand Leather Duffle Weekend Travel Overnight Bag Luggage Holdall,True,,57869477,0,New (Other)
Dashing Men Real Leather Outdoor Duffel Bag Travel Overnight Luggage Weekender,True,,54878679,0,New (Other)
Large Leather Goat Carry Duffel Weekend Luggage Travel Overnight Bag # Best Bag ,True,,54188514,0,New (Other)
"Men's Large 28"" Travel Bag Genuine Vintage Leather Duffel Luggage Sport Weekend",True,,6786,0,Brand New
Lily Bloom Luggage Large Expandable Design Pattern Suitcase With Spinner Wheels ,False,,16999,0,Brand New
"LL Bean Duffel Bag Large 27""x19"" Canvas Green Khaki Travel Bag Luggage No Strap",False,,8999,1000,Pre-Owned
Marlboro country store large travel duffle bag luggage,False,,2300,1800,Pre-Owned
Authentic LOUIS VUITTON Sirius 55 Monogram Suitcase Travel Business Bag #47485,True,,49410,0,Pre-Owned
ORANGE THEORY ROLL TOP GREY LAPTOP-IPAD-CARRY ON-BACKPACK- FITNESS TOTE BAG ,True,0,2999,1100,Brand New
VERA BRADLEY Midnight Houndstooth Large Duffel Bag,False,,3700,975,Pre-Owned
WHITEDUCK HOPLITE Top Load Duffel Bag- Travel Gear - Large Waterproof Duffle Bag,True,,24833219,0,Brand New
"3-in-1 Multifunctional Large Capacity Traveling Storage Suitcase, Set Purple",True,,14099,0,Brand New
Tommy Hilfiger Navy Blue Travel Duffle Duffel Bag Converts To Backpack NEW,False,0,4988,0,Brand New
Myra Bag Soulful Traveler Large Upcycled Leather Duffle Bag,True,0,17499,0,Brand New
"LARGE VINTAGE VERA BRADLEY VISTA RED ROLLING LUGGAGE SUITCASE 22"" HIGH",False,,7500,3500,Pre-Owned
Kipling Red Large Shoulder Carry On Messenger Lap Top Organizer Bag EUC,False,,4399,1203,Pre-Owned
Vintage Pierre Cardin Large Overnight Bag /Carry-on Luggage Bag/ Weekender Bag,False,,3499,6235,Pre-Owned
"RIMOWA Original Black Aluminum Large Check-In 31"" Spinner Suitcase 9023",True,,127500,19450,Pre-Owned
Lucas Ultra Lightweight Large Softside 28 inch Expandable Luggage With Spinner,False,,15999,0,Brand New
Vintage Filson 257 Large Briefcase Bag Travel NWT? Made In USA Twill Leather,False,0,39999,1000,New (Other)
Delsey Chatelet Air 2.0 21” Large Spinner Carry-On Chocolate Suitcase Luggage,False,,24900,0,New (Other)
Vera Bradley large duffel travel bag Flamingo Fiesta NWOT,False,,8900,1000,Pre-Owned
New ListingExtra Large XL Wheeled Travel Luggage Trolley Suitcase Case Bag Wheels,True,,2000,2718,Pre-Owned
"It Spinner Suitcase Luggage 30"" GT Lightweight, Softside, Large Checked Luggage",True,,918410304,0,Brand New
Vintage LL Bean Large Canvas Duffle Bag Model OV232 Green Excellent Shape overal,False,,7000,0,Pre-Owned
VERA BRADLEY GRAND TRAVELER BAG LARGE TOTE TROLLEY SLEEVE $138 PENGUINS BLUE,False,0,7450,0,Brand New
"TUMI Large Dustbag Black/Dark Grey Drawstring 24x22"" Travel Cover Dust Bag",False,,1199,600,New (Other)
"Thule Subterra Wheeled Duffel     75cm/30""  90L    Black large size roller bag",False,,39500,5556,Brand New
Travelon 43155 Triplogic Foldable Travel Duffel Luggage Sports Gym Carry-On Bag,True,0,1498,0,Brand New
Large Brown Leather Breeders Cup Horse Racing Carry On Duffel Bag Luggage,False,,9999,1438,Pre-Owned
Large U.S. Army Travel Bag Black with Army Logo 30 inches long,False,,2400,1265,Pre-Owned
"New ListingCarry on Garment Bag, 60L Large Travel Duffel Bag with Shoes Compartment Convert",False,,6799,0,Brand New
"Protege Lightweight Check Softside Travel Luggage, GRAY, Checked-Large 30-Inch",False,0,9000,0,Brand New
"Samsonite NeoPulse 29” Large Spinner Suitcase Luggage, Blue",False,,16900,0,Pre-Owned
OGIO RIG 9800 Gear Bag Black Duffle Rolling Travel Bag Heavy Duty Luggage Large ,False,0,19999,13204,Pre-Owned
Stitch Golf Ultimate Garment Bag Duffle Convertible Gray Large Mint! NO STRAP,False,0,11499,3624,Pre-Owned
"Swiss Gear Large Duffle Luggage Travel Bag Red, Gray, & Black Used",False,,1999,1315,Pre-Owned
Polo Ralph Lauren Large Duffel Bag Travel Bag Military Green Canvas/ Leather,False,,3995,1265,Pre-Owned
"$1000 Briggs & Riley Baseline-Soft Large Upright Rolling Duffle Bag 29"" Black",True,,62500,0,Brand New
Authentic LOUIS VUITTON Sirius 50 Monogram Suitcase Travel Business Bag #47533,True,,44910,0,Pre-Owned
Vera Bradley Boysenberry Spinner Luggage 27” Large Suitcase VGUC See Description,False,,12499,4999,Pre-Owned
Extra Large Duffle Bag Travel Luggage Sports Gym Tote Men Women 96L Waterproof,True,0,2499,0,Brand New
Vera Bradley Limes Up Extra Large Duffle Carryon Travel Bag New without Tags,False,,4999,1346,New (Other)
"Vintage American Tourister Large Hard Shell Tan Brown Suitcase  26"" (H)",False,,5900,2200,Pre-Owned
Samsonite Silhouette 17 Large Check-In Expandable Softside Spinner Suitcase Blk,False,,34500,0,New (Other)
Men's Real Leather Vintage Duffel Overnight Travel Luggage All-Purpose Use Bag,True,,54878968,0,New (Other)
Carry On Luggage With Wheel Duffle Bag Travel Large Trolley Foldable Convertible,False,,15239,0,Brand New
Shop on eBay,False,,2000,,Brand New
Carry On Luggage With Wheel Duffle Bag Travel Large Trolley Foldable Convertible,False,,15239,0,Brand New
"Overnight Duffle Bag Leather Travel Men Luggage Gym Duffel 30"" Pure Handmade ",True,,49887654,0,New (Other)
Genuine Leather large Strong duffle travel gym weekend overnight bag New Men's,True,,47308514,0,New (Other)
" Leather large Men's vintage Carryall 25"" duffle travel weekend overnight bag",True,,5246,0,New (Other)
Extra Large Duffle Bag Travel Luggage Sports Gym Tote Men Women 96L Waterproof,True,0,2499,0,Brand New
"Vintage American Tourister Large Hard Shell Tan Brown Suitcase  26"" (H)",False,,5900,2200,Pre-Owned
Samsonite Silhouette 17 Large Check-In Expandable Softside Spinner Suitcase Blk,False,,34500,0,New (Other)
Continuum Collection 28-Inch Large Hard-Side Expandable Suitcase Charcoal Grey,True,,9299,0,Pre-Owned
Sperry Top Sider Large Heavy Canvas Zipper Tote Bag Sailboat Logo Side Pocket,False,,2449,899,Pre-Owned
Vera Bradley BENGAL LILY Large TRAVELER duffel carry on bag NWT $129,False,,7225,0,Brand New
"Bella Russo Canvas Large Duffel Bag, Overnight Bag, Suitcase W/ Wheels & Handle",True,,4000,0,New (Other)
Bella Russo Large Charcoal Duffel Bag w/ Handles & Shoulder Strap  NEW,False,,1290,1061,Brand New
Nike Large Red Duffel Carry On Gym Bag,True,,1500,1000,Pre-Owned
